Name,Address,Longitude,Latitude
연세백양로,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,126.9390292,37.5671131
연희DT,서울특별시 서대문구 연희로 144 (연희동),126.9338901,37.5701891
경기대,서울특별시 서대문구 충정로 53 (충정로2가),126.9646501,37.5637531
신촌,서울특별시 서대문구 연세로 10-1 (창천동),126.9371419,37.5565000
이대R,서울특별시 서대문구 이화여대길 34 (대현동),126.9459565,37.5584288
연세종합관,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)",126.9390292,37.5671131
이대ECC,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,126.9472448,37.5617396
연대,서울특별시 서대문구 연세로 35 (창천동),126.9367303,37.5587289
신촌아트레온,서울특별시 서대문구 신촌로 129 (창천동),126.9403064,37.5565738
충정로역,서울특별시 서대문구 충정로 23,126.9629441,37.5611475
연대동문,서울특별시 서대문구 성산로 565 (대신동),126.9463688,37.5664624
신촌명물거리,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)",126.9381557,37.5578041
충정타워,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)",126.9641010,37.5598996
이대역,서울특별시 서대문구 신촌로 183 (대현동),126.9463252,37.5570866
북가좌DT,서울특별시 서대문구 응암로 85 (북가좌동),126.9115294,37.5805891
현대신촌,서울특별시 서대문구 신촌로 83 (창천동),126.9358309,37.5560846
방배로,서울특별시 서초구 방배로 52 (방배동),126.9994288,37.4793513
강남교보타워R,서울특별시 서초구 강남대로 465 (서초동),127.0241492,37.5038061
방배다이치빌딩,서울특별시 서초구 방배로 114 (방배동),126.9961050,37.4843447
센트럴F1,서울특별시 서초구 신반포로 176 (반포동),127.0031828,37.5049856
서초역이화빌딩,서울특별시 서초구 반포대로21길 3 (서초동),127.0090455,37.4883093
서초구청,서울특별시 서초구 남부순환로 2557 (서초동),127.0300864,37.4844454
서초우성사거리,서울특별시 서초구 강남대로 343 (서초동),127.0292591,37.4935194
이수역사거리,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)",126.9829747,37.4860933
강남대로신사,서울특별시 서초구 강남대로 595 (잠원동),127.0195571,37.5148598
서울고속터미널,서울특별시 서초구 신반포로 194 (반포동),127.0058468,37.5056800
강남대로논현R,서울특별시 서초구 강남대로85길 5 (반포동),127.0225908,37.5074300
방배,서울특별시 서초구 방배로 211,126.9906595,37.4920013
방배카페거리,서울특별시 서초구 방배중앙로 162 (방배동),126.9865579,37.4935230
서초법원,서울특별시 서초구 서초대로 274 (서초동),127.0119352,37.4928317
청계산입구역,서울특별시 서초구 청계산로 203 (신원동),127.0563097,37.4473274
사당로데오,서울특별시 서초구 방배천로 5-4(방배동),126.9821617,37.4773474
파미에파크R,서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY,127.0078453,37.5044921
교대역,서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩,127.0139865,37.4942515
양재역,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩,127.0368774,37.4823345
논현역,서울특별시 서초구 강남대로 557 (잠원동) 1~2층,127.0206713,37.5115656
이수역,서울특별시 서초구 동작대로 112 (방배동),126.9830137,37.4866077
내방역,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩,126.9924900,37.4900283
서초파라곤,서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤,127.0274412,37.4949505
서울아트센터,서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩,127.0123800,37.4806827
서초중앙로,서울특별시 서초구 서초중앙로 225,127.0115771,37.5016656
센트럴시티,서울특별시 서초구 신반포로 176 (반포동),127.0031828,37.5049856
강남삼성타운,서울특별시 서초구 서초대로78길 24 (서초동),127.0277674,37.4955507
방배역,서울특별시 서초구 방배로 84 (방배동),126.9976577,37.4819952
반포역,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가,127.0119428,37.5086180
남부터미널,"서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)",127.0170065,37.4846962
뉴코아강남,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽,127.0074591,37.5092391
강남2,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)",127.0255366,37.5001007
교대,서울특별시 서초구 서초중앙로 118 (서초동),127.0142448,37.4924002
하이브랜드,"서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동)",127.0366233,37.4631951
신논현역,서울특별시 서초구 강남대로 483 (반포동) 청호빌딩,127.0236717,37.5053360
영동2교,"서울특별시 서초구 논현로 139, 대흥빌딩 (양재동)",127.0426083,37.4820058
남부터미널2,서울특별시 서초구 효령로 274 (서초동),127.0142312,37.4844016
서래마을입구,서울특별시 서초구 서래로 48 (반포동),126.9985742,37.4992809
몬테소리,서울특별시 서초구 강남대로 399 (서초동),127.0268507,37.4982763
서초역,서울특별시 서초구 반포대로 118 (서초동),127.0086306,37.4906702
교대법원,서울특별시 서초구 서초중앙로 164 (서초동),127.0133991,37.4963753
강남GT타워,"서울특별시 서초구 서초대로 411, GT타워 (서초동)",127.0259786,37.4979716
서초동,"서울특별시 서초구 남부순환로339길 64, 현우빌딩 1층 (서초동)",127.0215680,37.4859281
서울교대,"서울특별시 서초구 서초중앙로 64, 1층 (서초동)",127.0151984,37.4874525
강남에비뉴,"서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동)",127.0239029,37.5027557
반포자이,서울특별시 서초구 잠원로 24 (반포동),127.0098751,37.5071118
서이초교사거리,서울특별시 서초구 사임당로 143 (서초동),127.0252522,37.4918563
서울웨이브아트센터,서울특별시 서초구 잠원로 145-35 (잠원동),127.0072812,37.5183880
길음역,서울특별시 성북구 정릉로 376 (돈암동),127.0253655,37.6020736
미아이마트,서울특별시 성북구 도봉로 17 (길음동),127.0299225,37.6108546
종암DT,서울특별시 성북구 종암로 17 (종암동),127.0360898,37.5919109
미아,서울특별시 성북구 동소문로 314 (하월곡동),127.0293214,37.6076219
성신여대정문,서울특별시 성북구 보문로34길 62 (동선동2가),127.0188736,37.5908568
종암,서울특별시 성북구 종암로 122 (종암동),127.0339268,37.6011698
삼선교,서울특별시 성북구 동소문로 10 (동소문동2가),127.0073399,37.5887382
월곡역,"서울특별시 성북구 화랑로 76, 101-1호 (하월곡동)",127.0405332,37.6018543
고대,서울특별시 성북구 고려대로24길 51 (안암동5가),127.0297329,37.5839306
현대미아,서울특별시 성북구 동소문로 315 (길음동) 지하1층,127.0287466,37.6084082
성신여대,서울특별시 성북구 동소문로24길 12 (동선동1가),127.0184313,37.5931535
안암역,서울특별시 성북구 고려대로 102-2 (안암동5가),127.0307665,37.5861092
한성대입구역,서울특별시 성북구 성북로 11 (성북동1가),127.0048919,37.5890159
